TGRAC FID,TGRAC Name,TGRAC District,Current LGD Code,Current LGD Name,Census 2011,Temporal Classification,Historical Identity,Match Method,Evidence,Status
549,Nalgonda,Nalgonda,4646,Nalgonda,04646,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nalgonda (LGD subdist_code 4646),RESOLVED_DIRECT
550,Peda Adisharla Palli,Nalgonda,4658,Pedda Adesherlapally,04658,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Pedda Adesherlapally (LGD 4658),RESOLVED_DETERMINISTIC
551,Peddamandaddi,Wanaparthy,4594,Peddamandadi,04594,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Peddamandadi (LGD 4594),RESOLVED_DETERMINISTIC
552,Peddapalli,Peddapalli,4408,Peddapalli,04408,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Peddapalli (LGD subdist_code 4408),RESOLVED_DIRECT
553,Pentlavelli,Nagarkurnool,6292,Pentlavelli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nagarkurnool (LGD subdist_code 6292),RESOLVED_DIRECT
554,Undavelly,Jogulamba Gadwal,6299,Undavelly,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jogulamba Gadwal (LGD subdist_code 6299),RESOLVED_DIRECT
555,Velair,Warangal_Urban,6252,Velair,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hanumakonda (LGD subdist_code 6252),RESOLVED_DIRECT
556,Veldanda,Nagarkurnool,4565,Veldanda,04565,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nagarkurnool (LGD subdist_code 4565),RESOLVED_DIRECT
557,Regonda,Jayashankar Bhupalpally,4690,Regonda,04690,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jayashankar Bhupalapally (LGD subdist_code 4690),RESOLVED_DIRECT
558,Renjal,Nizamabad,4357,Renjal,04357,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4357),RESOLVED_DIRECT
559,Revally,Wanaparthy,6286,Revally,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Wanaparthy (LGD subdist_code 6286),RESOLVED_DIRECT
560,Sadasivpet,Sangareddy,4490,Sadasivpet,04490,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 4490),RESOLVED_DIRECT
561,Saidabad,Hyderabad,4511,Saidabad,04511,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hyderabad (LGD subdist_code 4511),RESOLVED_DIRECT
562,Yerrupalem,Khammam,4767,Yerrupalem,04767,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Khammam (LGD subdist_code 4767),RESOLVED_DIRECT
563,Zaffergadh,Jangoan,4696,Zaffergadh,04696,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jangoan (LGD subdist_code 4696),RESOLVED_DIRECT
564,Zahirabad,Sangareddy,4474,Zahirabad,04474,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 4474),RESOLVED_DIRECT
565,Shayampet,Warangal_Rural,4691,Shayampet,04691,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_ALIAS_LINEAGE,Shayampet (LGD 4691) in Hanumakonda post-2021 reorganization,RESOLVED_LEGAL_LINEAGE
566,Shivampet,Medak,4487,Shivampet,04487,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4487),RESOLVED_DIRECT
567,Toopran,Medak,4482,Toopran,04482,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4482),RESOLVED_DIRECT
568,Vikarabad,Vikarabad,4530,Vikarabad,04530,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Vikarabad (LGD subdist_code 4530),RESOLVED_DIRECT
569,Yeldurthy,Medak,4481,Yeldurthy,04481,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4481),RESOLVED_DIRECT
570,Thoguta,Siddipet,4463,Thoguta,04463,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 4463),RESOLVED_DIRECT
571,Tirumalagiri,Suryapet,4619,Thirumalagiri,04619,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Tirumalagiri -> Thirumalagiri in Suryapet,RESOLVED_DETERMINISTIC
572,Tirumalagiri_Sagar,Nalgonda,6306,Tirumalagiri Sagar,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nalgonda (LGD subdist_code 6306),RESOLVED_DIRECT
573,Tirumalayapalem,Khammam,4754,Tirumalayapalem,04754,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Khammam (LGD subdist_code 4754),RESOLVED_DIRECT
574,Tiryani,Kumurambheem Asifabad,4333,Tiryani,04333,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kumuram Bheem Asifabad (LGD subdist_code 4333),RESOLVED_DIRECT
575,Vatpally,Sangareddy,6291,Vatpally,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 6291),RESOLVED_DIRECT
576,Veenavanka,Karimnagar,4439,Veenavanka,04439,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Karimnagar (LGD subdist_code 4439),RESOLVED_DIRECT
577,Wankidi,Kumurambheem Asifabad,4314,Wankidi,04314,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kumuram Bheem Asifabad (LGD subdist_code 4314),RESOLVED_DIRECT
578,Doultabad,Siddipet,4465,Doultabad,04465,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 4465),RESOLVED_DIRECT
579,Chilipched,Medak,6274,Chilpched,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Chilpched (LGD 6274),RESOLVED_DETERMINISTIC
580,Shankarampet_R,Medak,4467,Shankarampet (R),04467,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Shankarampet (R) (LGD 4467),RESOLVED_DETERMINISTIC
581,Domakonda,Kamareddy,4392,Domakonda,04392,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kamareddy (LGD subdist_code 4392),RESOLVED_DIRECT
582,Bichkunda,Kamareddy,4374,Bichkunda,04374,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kamareddy (LGD subdist_code 4374),RESOLVED_DIRECT
583,Birkoor,Kamareddy,4375,Birkur,04375,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Birkoor -> Birkur in Kamareddy,RESOLVED_DETERMINISTIC
584,Kammarpally,Nizamabad,4363,Kammarpally,04363,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 4363),RESOLVED_DIRECT
585,Kodakandla,Jangoan,4702,Kodakandla,04702,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jangoan (LGD subdist_code 4702),RESOLVED_DIRECT
586,Kotapalle,Mancherial,4351,Kotapally,04351,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Kotapalle -> Kotapally in Mancherial,RESOLVED_DETERMINISTIC
587,Muduchinthalaphally,Medchal_Malkajgiri,6671,Muduchinthalapally,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Muduchinthalaphally -> Muduchinthalapally in Medchal Malkajgiri,RESOLVED_DETERMINISTIC
588,Narayanraopet,Siddipet,6670,Narayanaraopet,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Narayanaraopet (LGD 6670),RESOLVED_DETERMINISTIC
