TGRAC FID,TGRAC Name,TGRAC District,Current LGD Code,Current LGD Name,Census 2011,Temporal Classification,Historical Identity,Match Method,Evidence,Status
472,Wanaparthy,Wanaparthy,4595,Wanaparthy,04595,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Wanaparthy (LGD subdist_code 4595),RESOLVED_DIRECT
473,Rajoli,Jogulamba Gadwal,6296,Rajoli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jogulamba Gadwal (LGD subdist_code 6296),RESOLVED_DIRECT
474,Ramachandrapuram,Sangareddy,4495,Ramchandrapuram,04495,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Ramchandrapuram (LGD 4495),RESOLVED_DETERMINISTIC
475,Wardhannapet,Warangal_Rural,4704,Wardhannapet,04704,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Warangal (LGD subdist_code 4704),RESOLVED_DIRECT
476,Ramagundam,Peddapalli,4399,Ramagundam,04399,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Peddapalli (LGD subdist_code 4399),RESOLVED_DIRECT
477,Weepangandla,Wanaparthy,4608,Weepangandla,04608,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Wanaparthy (LGD subdist_code 4608),RESOLVED_DIRECT
478,Ramareddy,Kamareddy,6243,Ramareddy,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kamareddy (LGD subdist_code 6243),RESOLVED_DIRECT
479,Ramayampet,Medak,4457,Ramayampet,04457,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4457),RESOLVED_DIRECT
480,Yelal,Vikarabad,4536,Yelal,04536,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Vikarabad (LGD subdist_code 4536),RESOLVED_DIRECT
481,Regode,Medak,4471,Regode,04471,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4471),RESOLVED_DIRECT
482,Yellareddy,Kamareddy,4386,Yellareddy,04386,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kamareddy (LGD subdist_code 4386),RESOLVED_DIRECT
483,Rudrangi,Rajanna Sircilla,6219,Rudrangi,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Rajanna Sircilla (LGD subdist_code 6219),RESOLVED_DIRECT
484,Wazeed,Mulugu,4723,Wajedu,04723,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Wajedu (LGD 4723),RESOLVED_DETERMINISTIC
485,Rudrur,Nizamabad,6240,Rudrur,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nizamabad (LGD subdist_code 6240),RESOLVED_DIRECT
486,Nagar_Kurnool,Nagarkurnool,4583,Nagarkurnool,04583,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nagarkurnool (LGD subdist_code 4583),RESOLVED_DIRECT
487,Sangareddy,Sangareddy,4492,Sangareddy,04492,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Sangareddy (LGD subdist_code 4492),RESOLVED_DIRECT
488,Utkoor,Narayanpet,4571,Utkoor,04571,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Narayanpet (LGD subdist_code 4571),RESOLVED_DIRECT
489,Sarangapur,Jagtial,4396,Sarangapur,04396,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jagitial (LGD subdist_code 4396),RESOLVED_DIRECT
490,Sarangapur,Nirmal,4336,Sarangapur,04336,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nirmal (LGD subdist_code 4336),RESOLVED_DIRECT
491,Sathupally,Khammam,4751,Sathupalli,04751,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Sathupally -> Sathupalli in Khammam,RESOLVED_DETERMINISTIC
492,Serilingampalle,Rangareddy,4516,Serilingampally,04516,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,PHONETIC_SIMPLIFIED_DISTRICT,Phonetic transliteration match Serilingampalle -> Serilingampally in Ranga Reddy,RESOLVED_DETERMINISTIC
493,Shaikpet,Hyderabad,4496,Shaikpet,04496,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hyderabad (LGD subdist_code 4496),RESOLVED_DIRECT
494,Shaligouraram,Nalgonda,4624,Shaligouraram,04624,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Nalgonda (LGD subdist_code 4624),RESOLVED_DIRECT
495,Shamirpet,Medchal_Malkajgiri,4520,Shamirpet,04520,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medchal Malkajgiri (LGD subdist_code 4520),RESOLVED_DIRECT
