tgrac_fid,tgrac_s_no,tgrac_mandal_name,tgrac_district,tgrac_revenue_division,canonical_pilot_id,lgd_code_available,temporal_regime,status
30,415,"Balapur","Rangareddy","HYDERABAD",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
31,121,"Banswada","Kamareddy","Banswada",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
32,511,"Bantwaram","Vikarabad","Tandur",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
33,340,"Basar","Nirmal","Bhainsa",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
34,195,"Bayyaram","Mahabubabad","Kothagudem",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
35,512,"Basheerabad","Vikarabad","Tandur",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
36,467,"Bejjanki","Siddipet","Karimnagar",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
37,3,"Bazarhathnoor","Adilabad","Adilabad",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
38,58,"Beerpur","Jagtial","Jagtial",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
39,181,"Bejjur","Kumurambheem Asifabad","Kagaznagar",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
40,4,"Bela","Adilabad","Adilabad",UNMAPPED_PILOT_ABSENT,NOT_PRESENT_IN_SOURCE,2016_POST_REORGANISATION_REGIME,CANDIDATE_FEATURE_VALID
