ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
195,Jangipara,Hooghly,GEN,Snehasis Chakraborty,AITC,101885,17926,Debjit Sarkar,BJP
196,Haripal,Hooghly,GEN,Dr. Karabi Manna,AITC,110215,23072,Samiran Mitra,BJP
197,Dhanekhali,Hooghly,SC,Asima Patra,AITC,124776,30159,Tusar Kumar Majumdar,BJP
198,Tarakeswar,Hooghly,GEN,Ramendu Sinharay,AITC,96698,7484,Dr. Swapan Dasgupta,BJP
199,Pursurah,Hooghly,GEN,Biman Ghosh,BJP,119334,28178,Dilip Yadav,AITC
200,Arambagh,Hooghly,SC,Madhusudan Bag,BJP,103108,7172,Sujata Mondal,AITC
201,Goghat,Hooghly,SC,Biswanath Karak,BJP,102227,4147,Manas Majumdar,AITC
202,Khanakul,Hooghly,GEN,Susanta Ghosh,BJP,107403,12884,Munsi Nazbul Karim,AITC
203,Tamluk,Purba Medinipur,GEN,Saumen Kumar Mahapatra,AITC,108243,793,Hare Krishna Bera,BJP
204,Panskura Purba,Purba Medinipur,GEN,Biplab Roy Chowdhury,AITC,91213,9660,Debabrata Pattanayek,BJP
205,Panskura Paschim,Purba Medinipur,GEN,Phiroja Bibi,AITC,111705,8889,Sintu Senapati,BJP
206,Moyna,Purba Medinipur,GEN,Ashoke Dinda,BJP,108109,1260,Sangram Kumar Dolai,AITC
207,Nandakumar,Purba Medinipur,GEN,Sukumar De,AITC,108181,5406,Nilanjan Adhikary,BJP
208,Mahisadal,Purba Medinipur,GEN,Tilak Kumar Chakraborty,AITC,101986,2386,Biswanath Banerjee,BJP
209,Haldia,Purba Medinipur,SC,Tapasi Mondal,BJP,104126,15008,Swapan Naskar,AITC
210,Nandigram,Purba Medinipur,GEN,Suvendu Adhikari,BJP,110764,1956,Mamata Banerjee,AITC
211,Chandipur,Purba Medinipur,GEN,Soham Chakraborty,AITC,109770,13472,Pulak Kanti Guria,BJP
212,Patashpur,Purba Medinipur,GEN,Uttam Barik,AITC,105299,9994,Ambujaksha Mahanti,BJP
213,Kanthi Uttar,Purba Medinipur,GEN,Sumita Sinha,BJP,113524,9330,Tarun Kumar Jana,AITC
214,Bhagabanpur,Purba Medinipur,GEN,Rabindranath Maity,BJP,121480,27549,Ardhendu Maity,AITC
215,Khejuri,Purba Medinipur,SC,Santanu Pramanik,BJP,110407,17965,Partha Pratim Das,AITC
216,Kanthi Dakshin,Purba Medinipur,GEN,Arup Kumar Das,BJP,98477,10293,Jyotirmoy Kar,AITC
217,Ramnagar,Purba Medinipur,GEN,Akhil Giri,AITC,112622,12517,Swadesh Ranjan Nayak,BJP
218,Egra,Purba Medinipur,GEN,Tarun Kumar Maity,AITC,125763,18491,Arup Dash,BJP
219,Dantan,Paschim Medinipur,GEN,Bikram Chandra Pradhan,AITC,94609,775,Saktipada Nayak,BJP
220,Nayagram,Jhargram,ST,Dulal Murmu,AITC,99825,22736,Bakul Murmu,BJP
221,Gopiballavpur,Jhargram,GEN,Dr. Khagendra Nath Mahata,AITC,102710,23604,Sanjit Mahata,BJP
222,Jhargram,Jhargram,GEN,Birbaha Hansda,AITC,108044,37996,Sukhamay Satpathy (Jahar),BJP
223,Keshiary,Paschim Medinipur,ST,Paresh Murmu,AITC,106366,15330,Sonali Murmu,BJP
224,Kharagpur Sadar,Paschim Medinipur,GEN,Hiran Chatterjee,BJP,79607,3771,Pradip Sarkar,AITC
225,Narayangarh,Paschim Medinipur,GEN,Suryakanta Atta,AITC,100894,2416,Ramprasad Giri,BJP
226,Sabang,Paschim Medinipur,GEN,Manas Bhunia,AITC,112098,9864,Amulya Maity,BJP
227,Pingla,Paschim Medinipur,GEN,Ajit Maity,AITC,112435,6656,Antara Bhattacharya,BJP
228,Kharagpur,Paschim Medinipur,GEN,Dinen Ray,AITC,109727,36230,Tapan Bhuiya,BJP
229,Debra,Paschim Medinipur,GEN,Humayun Kabir,AITC,95850,11226,Bharati Ghosh,BJP
230,Daspur,Paschim Medinipur,GEN,Mamata Bhunia,AITC,114753,26842,Prashanth Bera,BJP
231,Ghatal,Paschim Medinipur,GEN,Shital Kapat,BJP,105812,966,Shankar Dolai,AITC
232,Chandrakona,Paschim Medinipur,SC,Arup Dhara,AITC,121846,11281,Shibram Das,BJP
233,Garbeta,Paschim Medinipur,GEN,Uttara Singha,AITC,94928,10572,Madan Ruidas,BJP
234,Salboni,Paschim Medinipur,GEN,Srikanta Mahata,AITC,126020,32644,Rajib Kundu,BJP
235,Keshpur,Paschim Medinipur,GEN,Siuli Saha,AITC,116992,20720,Pritish Ranjan,BJP
236,Medinipur,Paschim Medinipur,GEN,June Malia,AITC,121175,24397,Shamit Dash,BJP
237,Binpur,Jhargram,ST,Debnath Hansda,AITC,99786,39573,Palan Saren,BJP
238,Bandwan,Purulia,ST,Rajib Lochan Saren,AITC,112183,18885,Parsi Murmu,BJP
239,Balarampur,Purulia,GEN,Baneswar Mahato,BJP,88803,273,Shantiram Mahato,AITC
240,Baghmundi,Purulia,GEN,Sushanta Mahato,AITC,75245,13735,Ashutosh Mahato,AJSU
241,Joypur,Purulia,GEN,Narahari Mahato,BJP,73713,12102,Phanibhushan Kumar,INC
242,Purulia,Purulia,GEN,Sudip Kumar Mukherjee,BJP,88899,6585,Sujoy Banerjee,AITC
243,Manbazar,Purulia,ST,Sandhyarani Tudu,AITC,102169,15490,Gouri Singh Sardar,BJP
244,Kashipur,Purulia,GEN,Kamalakanta Hansda,BJP,92061,7240,Swapan Kumar Beltharia,AITC
245,Para,Purulia,SC,Nadiar Chand Bouri,BJP,86930,3944,Umapada Bauri,AITC
246,Raghunathpur,Purulia,SC,Vivekananda Bauri,BJP,94994,5323,Bouri Hazari,AITC
247,Saltora,Bankura,SC,Chandana Bauri,BJP,91648,4145,Santosh Kumar Mondal,AITC
