ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
320,Caimpiyarganj,Gorakhpur,GEN,Fateh Bahadur Singh,BJP,122032,42656,Kajal Nishad,SP
321,Pipraich,Gorakhpur,GEN,Mahendra Pal Singh,BJP,141780,65357,Amrendra Nishad,SP
322,Gorakhpur Urban,Gorakhpur,GEN,Yogi Adityanath,BJP,165499,103390,Subhawati Upendra Dutt Shukla,SP
323,Gorakhpur Rural,Gorakhpur,GEN,Bipin Singh,BJP,126376,24070,Vijay Bahadur Yadav,SP
324,Sahajanwa,Gorakhpur,GEN,Pradeep Shukla,BJP,105981,43406,Yashwant Singh Rawat,SP
325,Khajani,Gorakhpur,SC,Sriram Chauhan,BJP,90210,37101,Rupawati Beldar,SP
326,Chauri-Chaura,Gorakhpur,GEN,Sarvan Kumar Nishad,BJP,91958,41127,Captain Brijesh Chandra Lal Paswan,SP
327,Bansgaon,Gorakhpur,SC,Vimlesh Paswan,BJP,87224,32209,Sanjay Kumar,SP
328,Chillupar,Gorakhpur,GEN,Rajesh Tripathi,BJP,96777,21645,Vinay Shankar Tiwari,SP
329,Khadda,Kushinagar,GEN,Vivekanand Pandey,NISHAD,88291,41451,Vijay Pratap Kushwaha,IND
330,Padrauna,Kushinagar,GEN,Manish Jaiswal,BJP,114496,42008,Vikram Yadav,SP
331,Tamkuhi Raj,Kushinagar,GEN,Asim Kumar,BJP,115123,66472,Uday Narayan,SP
332,Fazilnagar,Kushinagar,GEN,Surendra Kumar Kushwaha,BJP,116029,45014,Swami Prasad Maurya,SP
333,Kushinagar,Kushinagar,GEN,Panchanand Pathak,BJP,115268,34790,Rajesh Pratap Rao,SP
334,Hata,Kushinagar,GEN,Mohan Verma,BJP,120666,59365,Ranvijay Singh,SP
335,Ramkola,Kushinagar,SC,Vinay Prakash Gond,BJP,124792,72543,Purnmasi Dehati,SBSP
336,Rudrapur,Deoria,GEN,Jai Prakash Nishad,BJP,78187,41936,Ram Bhuwal Nishad,SP
337,Deoria,Deoria,GEN,Shalabh Mani Tripathi,BJP,106701,40655,Ajay Pratap Singh Sainthwar,SP
338,Pathardeva,Deoria,GEN,Surya Pratap Shahi,BJP,93858,28681,Brahma Shankar Tripathi,SP
339,Rampur Karkhana,Deoria,GEN,Surendra Chaurasia,BJP,90742,14670,Ghazala Lari,SP
340,Bhatpar Rani,Deoria,GEN,Sabhakunwar Kushawaha,BJP,91282,18082,Ashutosh Upadhyay,SP
341,Salempur,Deoria,SC,Vijay Laxmi Gautam,BJP,82047,16608,Manbodh Prasad,SBSP
342,Barhaj,Deoria,GEN,Deepak Kumar Mishra,BJP,85758,16861,Murli Manohar Jaiswal,SP
343,Atrauliya,Azamgarh,GEN,Sangram Yadav,SP,91502,17247,Prashant Singh,NISHAD
344,Gopalpur,Azamgarh,GEN,Nafees Ahmad,SP,84401,24307,Satyendra Rai,BJP
345,Sagri,Azamgarh,GEN,Hriday Narayan Singh Patel,SP,83093,22515,Smt. Vandana Singh,BJP
346,Mubarakpur,Azamgarh,GEN,Akhilesh Yadav,SP,80726,29103,Arvind Jaiswal,BJP
347,Azamgarh,Azamgarh,GEN,Durga Prasad Yadav,SP,100813,16036,Akhilesh Kumar Mishra,BJP
348,Nizamabad,Azamgarh,GEN,Alambadi,SP,79835,34187,Manoj,BJP
349,Phoolpur Pawai,Azamgarh,GEN,Ramakant Yadav,SP,81164,25306,Ramsurat Rajbhar,BJP
350,Didarganj,Azamgarh,GEN,Kamlakant Rajbhar,SP,74342,13561,Krishna Murari Vishwakarma,BJP
351,Lalganj,Azamgarh,SC,Bechai Saroj,SP,83767,14733,Neelam Sonkar,BJP
352,Mehnagar,Azamgarh,SC,Puja Saroj,SP,86960,14149,Manju Saroj,BJP
353,Madhuban,Mau,GEN,Ram Bilash Chauhan,BJP,79032,4448,Umesh Pandey,SP
354,Ghosi,Mau,GEN,Dara Singh Chauhan,SP,108430,22216,Vijay Rajbhar,BJP
355,Muhammadabad-Gohna,Mau,SC,Rajendra Kumar,SP,94688,26649,Smt. Poonam Saroj,BJP
356,Mau,Mau,GEN,Abbas Ansari,SBSP,124691,38116,Ashok Singh,BJP
357,Belthara Road,Ballia,SC,Hansu Ram,SBSP,78995,5514,Chhattu Ram,BJP
358,Rasara,Ballia,GEN,Umashankar Singh,BSP,87887,6583,Mahendra,SBSP
359,Sikanderpur,Ballia,GEN,Mohammed Ziauddin Rizvi,SP,75446,11855,Sanjay Yadav,BJP
360,Phephana,Ballia,GEN,Sangram Singh,SP,92516,19354,Upendra Tiwari,BJP
361,Ballia Nagar,Ballia,GEN,Daya Shankar Singh,BJP,103873,26239,Narad Rai,SP
362,Bansdih,Ballia,GEN,Ketakee Singh,BJP,103305,21352,Ram Govind Chaudhary,SP
363,Bairia,Ballia,GEN,Jai Prakash Anchal,SP,71241,12951,Anand Swarup Shukla,BJP
364,Badlapur,Jaunpur,GEN,Ramesh Chandra Mishra,BJP,82391,1326,Baba Dubey,SP
365,Shahganj,Jaunpur,GEN,Ramesh Singh,NISHAD,87233,719,Shailendra Yadav Lalai,SP
366,Jaunpur,Jaunpur,GEN,Girish Chandra Yadav,BJP,97760,8052,Mohd. Arshad Khan,SP
367,Malhani,Jaunpur,GEN,Lucky Yadav,SP,97357,17527,JD(U),JD(U)
368,Mungra Badshahpur,Jaunpur,GEN,Pankaj Patel,SP,92048,5230,Ajay Dubey,BJP
369,Machhlishahr,Jaunpur,SC,Ragini Sonkar,SP,91659,8484,Mihilal Gautam,BJP
370,Mariyahu,Jaunpur,GEN,AD(S),AD(S),76007,1206,Sushma Patel,SP
371,Zafrabad,Jaunpur,GEN,Jagdish Narayan,SBSP,90620,6292,Harendra Prasad Singh,BJP
372,Kerakat,Jaunpur,SC,Tufani Saroj,SP,94022,9844,Dinesh Choudhary,BJP
373,Jakhanian,Ghazipur,SC,Triveni Ram,SBSP,113378,36865,Ramraj Vanvasi,BJP
374,Saidpur,Ghazipur,SC,Ankit Bharti,SP,109711,36635,Subhash Passi,BJP
375,Ghazipur Sadar,Ghazipur,GEN,Jai Kishan Sahu,SP,92472,1692,Sangeeta Balwant Bind,BJP
376,Jangipur,Ghazipur,GEN,Virendra Kumar Yadav,SP,103125,35063,Ramnaresh Kushwah,BJP
377,Zahoorabad,Ghazipur,GEN,Om Prakash Rajbhar,SBSP,114860,45632,Kalicharan Rajbhar,BJP
378,Mohammadabad,Ghazipur,GEN,Suhaib Ansari,SP,111443,18759,Alka Rai,BJP
379,Zamania,Ghazipur,GEN,Omprakash Singh,SP,94695,22456,Sunita Singh,BJP
380,Mughalsarai,Chandauli,GEN,Ramesh Jaiswal,BJP,102216,14921,Chandra Shekhar Yadav,SP
381,Sakaldiha,Chandauli,GEN,Prabhunarayan Yadav,SP,86328,16661,Suryamuni Tiwari,BJP
382,Saiyadraja,Chandauli,GEN,Sushil Singh,BJP,87891,10917,Manoj Kumar,SP
383,Chakia,Chandauli,SC,Kailash Kharwar,BJP,97812,9251,Jitendra Kumar,SP
384,Pindra,Varanasi,GEN,Awadhesh Kumar Singh,BJP,84325,35559,Babu Lal,BSP
385,Ajagara,Varanasi,SC,Tribhuwan Ram,BJP,101088,9160,Sunil Sonkar,SBSP
386,Shivpur,Varanasi,GEN,Anil Rajbhar,BJP,115231,27687,Arvind Rajbhar,SBSP
387,Rohaniya,Varanasi,GEN,AD(S),AD(S),118663,46472,AD(K),
388,Varanasi North,Varanasi,GEN,Ravindra Jaiswal,BJP,134471,40776,Ashfaque,SP
389,Varanasi South,Varanasi,GEN,Neelkanth Tiwari,BJP,99622,10722,Kameshwar (Kishan Dixit),SP
390,Varanasi Cantt.,Varanasi,GEN,Saurabh Srivastava,BJP,147833,86844,Pooja Yadav,SP
391,Sevapuri,Varanasi,GEN,Neel Ratan Singh Patel,BJP,105163,22531,Surendra Singh Patel,SP
392,Bhadohi,Bhadohi,GEN,Zahid Beg,SP,100738,4885,Ravindra Tripathi,BJP
393,Gyanpur,Bhadohi,GEN,Vipul Dubey,NISHAD,73446,6231,Ram Kishore Bind,SP
394,Aurai,Bhadohi,SC,Dinanath Bhashkar,BJP,93691,1647,Smt. Anjani,SP
395,Chhanbey,Mirzapur,SC,AD(S),AD(S),102502,38113,Kirti,SP
396,Mirzapur,Mirzapur,GEN,Ratnakar Mishra,BJP,118642,39876,Kailash Chaurasia,SP
397,Majhawan,Mirzapur,GEN,Dr. Vinod Kumar Bind,NISHAD,103235,33587,Rohit Shukla,SP
398,Chunar,Mirzapur,GEN,Anurag Singh,BJP,110980,47614,AD(K),
399,Marihan,Mirzapur,GEN,Rama Shankar Singh,BJP,105377,62911,Narendra Singh Kushwaha,BSP
400,Ghorawal,Sonbhadra,GEN,Anil Kumar Maurya,BJP,101277,23922,Ramesh Chandra Dubey,SP
401,Robertsganj,Sonbhadra,GEN,Bhupesh Chaubey,BJP,84496,5621,Avinash Kushwaha,SP
402,Obra,Sonbhadra,ST,Sanjeev Kumar Gond,BJP,78364,26442,Arvind Kumar,SP
403,Duddhi,Sonbhadra,ST,Ramdular Gaur,BJP,84407,6297,Vijay Singh Gour,SP
