ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
103,Aliganj,Etah,GEN,Satyapal Singh Rathore,BJP,102873,3810,Rameshwar Singh Yadav,SP
104,Etah,Etah,GEN,Vipin Kumar David,BJP,97539,17247,Jugendra Singh Yadav,SP
105,Marhara,Etah,GEN,Virendra Singh Lodhi,BJP,101387,17609,Amit Gaurav,SP
106,Jalesar,Etah,GEN,Sanjeev Kumar Diwakar,BJP,91339,4441,Ranjeet Suman,SP
107,Mainpuri,Mainpuri,GEN,Jaiveer Singh,BJP,99814,6766,Raj Kumar,SP
108,Bhongaon,Mainpuri,GEN,Ram Naresh Agnihotri,BJP,97208,4767,Alok Shakya,SP
109,Kishni,Mainpuri,SC,Brajesh Katheriya,SP,97070,19151,Priya Ranjan Ashu Diwakar,BJP
110,Karhal,Mainpuri,GEN,Akhilesh Yadav,SP,148196,67504,S.P. Singh Baghel,BJP
111,Gunnaur,Sambhal,GEN,Ramkhiladi Singh Yadav,SP,123969,29529,Ajeet Kumar Yadav,BJP
112,Bisauli,Budaun,SC,Ashutosh Maurya,SP,110569,1834,Kushagra Sagar,BJP
113,Sahaswan,Budaun,GEN,Brajesh Yadav,SP,83673,13945,Haji Vittan Musarrat,BSP
114,Bilsi,Budaun,GEN,Harish Chandra Shakya,BJP,93500,25115,Chandra Prakash Maurya,SP
115,Badaun,Budaun,GEN,Mahesh Chandra Gupta,BJP,101096,11179,Raish Ahmed,SP
116,Shekhupur,Budaun,GEN,Himanshu Yadav,SP,105531,6100,Dharmendra Shakya,BJP
117,Dataganj,Budaun,GEN,Rajeev Kumar Singh,BJP,107591,9476,Arjun Singh,SP
118,Baheri,Bareilly,GEN,Ataur Rehman,SP,124145,3355,Chhatrapal Singh Gangwar,BJP
119,Meerganj,Bareilly,GEN,DC Verma,BJP,116435,32840,Sultan Baig,SP
120,Bhojipura,Bareilly,GEN,Shazil Islam Ansari,SP,119402,9409,Bahoran Lal Maurya,BJP
121,Nawabganj,Bareilly,GEN,Dr. M. P. Arya Gangwar,BJP,111113,9237,Bhagwat Saran Gangwar,SP
122,Faridpur,Bareilly,SC,Shyam Bihari Lal,BJP,92070,2921,Vijay Pal Singh,SP
123,Bithari Chainpur,Bareilly,GEN,Raghavendra Sharma,BJP,115417,15841,Agam Maurya,SP
124,Bareilly,Bareilly,GEN,Dr. Arun Kumar Saxena,BJP,129014,32320,Rajesh Aggarwal,SP
125,Bareilly Cantt,Bareilly,GEN,Sanjeev Agarwal,BJP,98931,10768,Supriya Aron,SP
126,Aonla,Bareilly,GEN,Dharampal Singh,BJP,88956,18424,Radha Krishan Sharma,SP
127,Pilibhit,Pilibhit,GEN,Sanjay Singh Gangwar,BJP,125506,6970,Shailendra Gangwar,SP
128,Barkhera,Pilibhit,GEN,Swami Pravaktanand,BJP,151771,81472,Hemraj Verma,SP
129,Puranpur,Pilibhit,SC,Babu Ram Paswan,BJP,134404,26576,Ms Arti,SP
130,Bisalpur,Pilibhit,GEN,Vivek Kumar Verma,BJP,121142,50409,Divya Gangwar,SP
131,Katra,Shahjahanpur,GEN,Veer Vikram Singh,BJP,77800,357,Rajesh Yadav,SP
132,Jalalabad,Shahjahanpur,GEN,Hari Prakash Verma,BJP,99609,4572,Niraj Nilinesh,SP
133,Tilhar,Shahjahanpur,GEN,Salona Kushwaha,BJP,102307,13277,Roshan Lal Verma,SP
134,Powayan,Shahjahanpur,SC,Chetram Pasi,BJP,129785,51578,Upendra Pal Singh,SP
135,Shahjahanpur,Shahjahanpur,GEN,Suresh Kumar Khanna,BJP,109942,9313,Tanveer Khan,SP
136,Dadraul,Shahjahanpur,GEN,Manvendra Singh,BJP,100957,9701,Rajesh Kumar Verma,SP
137,Palia,Lakhimpur Kheri,GEN,Harvindar Kumar Sahani,BJP,118864,38129,Pritinder Singh Kakku,SP
138,Nighasan,Lakhimpur Kheri,GEN,Shashank Verma,BJP,126488,41009,R S Kushwaha,SP
139,Gola Gokrannath,Lakhimpur Kheri,GEN,Arvind Giri,BJP,126534,29294,Vinay Tiwari,SP
140,Sri Nagar,Lakhimpur Kheri,SC,Manju Tyagi,BJP,108249,17608,Ram Sharan,SP
141,Dhaurahra,Lakhimpur Kheri,GEN,Vinod Shankar Awasthi,BJP,113498,24610,Varun Singh,SP
142,Lakhimpur,Lakhimpur Kheri,GEN,Yogesh Verma,BJP,127663,20578,Utkarsh Verma Madhur,SP
143,Kasta,Lakhimpur Kheri,SC,Saurabh Singh,BJP,103315,13817,Sunil Kumar Lala,SP
144,Mohammdi,Lakhimpur Kheri,GEN,Lokendra Pratap Singh,BJP,99377,4871,Daud Ahmad,SP
145,Maholi,Sitapur,GEN,Shashank Trivedi,BJP,112040,12172,Anoop Kumar Gupta,SP
146,Sitapur,Sitapur,GEN,Rakesh Rathour,BJP,99349,1253,Radhe Shyam Jaiswal,SP
147,Hargaon,Sitapur,SC,Suresh Rahi,BJP,116691,38160,Ramhet Bharti,SP
148,Laharpur,Sitapur,GEN,Anil Kumar Verma,SP,112987,13155,Suneel Verma,BJP
149,Biswan,Sitapur,GEN,Nirmal Verma,BJP,106014,10478,Afzaal Kausar,SP
150,Sevata,Sitapur,GEN,Gyan Tiwari,BJP,108057,20438,Mahendra Kumar Singh,SP
151,Mahmoodabad,Sitapur,GEN,Asha Maurya,BJP,92091,5222,Narendra Singh Verma,SP
152,Sidhauli,Sitapur,SC,Manish Rawat,BJP,106222,9716,Dr. Hargovind Bhargawa,SP
153,Misrikh,Sitapur,SC,Ramkrishna Bhargava,BJP,91092,11465,Manoj Kumar Raghuvanshi,SBSP
154,Sawayazpur,Hardoi,GEN,Madhavendra Pratap,BJP,114623,26047,Padamrag Singh Yadav,SP
155,Shahabad,Hardoi,GEN,Rajani Tiwari,BJP,94561,6479,Asif Khan Babbu,SP
156,Hardoi,Hardoi,GEN,Nitin Agarwal,BJP,126750,42411,Anil Verma,SP
157,Gopamau,Hardoi,SC,Shyam Prakash,BJP,91762,7998,Rajeshwari,SP
158,Sandi,Hardoi,SC,Prabhash Kumar,BJP,81519,9233,Usha Verma,SP
159,Bilgram-Mallanwan,Hardoi,GEN,Ashish Kumar Singh,BJP,82075,24890,Brijesh Kumar Verma,SP
160,Balamau,Hardoi,SC,Ram Pal Verma,BJP,81994,26424,Rambali Verma,SP
161,Sandila,Hardoi,GEN,Alka Singh Arkvanshi,BJP,101730,37103,Abdul Mannan,BSP
162,Bangarmau,Unnao,GEN,Shrikant Katiyar,BJP,90980,15793,Dr. Munna,SP
163,Safipur,Unnao,SC,Bamba Lal Diwakar,BJP,102968,34132,Sudhir Kumar,SP
164,Mohan,Unnao,SC,Brijesh Kumar Rawat,BJP,113291,43179,Dr. Anchal,SP
165,Unnao,Unnao,GEN,Pankaj Gupta,BJP,126670,31128,Abhinav Kumar,SP
166,Bhagwantnagar,Unnao,GEN,Ashutosh Shukla,BJP,127118,43010,Ankit Parihar,SP
167,Purwa,Unnao,GEN,Anil Kumar Singh,BJP,133827,31061,Uday Raj,SP
168,Malihabad,Lucknow,SC,Jai Devi,BJP,106372,7745,Surendra Kumar,SP
169,Bakshi Kaa Talab,Lucknow,GEN,Yogesh Shukla,BJP,147922,27788,Gomti Yadav,SP
170,Sarojini Nagar,Lucknow,GEN,Rajeshwar Singh,BJP,160626,56186,Abhishek Mishra,SP
171,Lucknow West,Lucknow,GEN,Armaan Khan,SP,124497,8184,Anjali Kumar Srivastava,BJP
172,Lucknow North,Lucknow,GEN,Neeraj Bora,BJP,139159,33953,Pooja Shukla,SP
173,Lucknow East,Lucknow,GEN,Ashutosh Tandon,BJP,152928,68731,Anurag Bhadouria,SP
174,Lucknow Central,Lucknow,GEN,Ravidas Mehotra,SP,104488,10935,Rajnish Kumar Gupta,BJP
175,Lucknow Cantonment,Lucknow,GEN,Brajesh Pathak,BJP,108147,39512,Raju Gandhi,SP
176,Mohanlalganj,Lucknow,SC,Amresh Kumar,BJP,107089,16548,Sushila Saroj,SP
177,Bachhrawan,Raebareli,SC,Shyam Sunder Bharti,SP,65747,2812,AD(S),AD(S)
178,Tiloi,Amethi,GEN,Mayankeshwar Sharan Singh,BJP,99472,27829,Mohd Naim,SP
179,Harchandpur,Raebareli,GEN,Rahul Rajpoot,SP,92498,14489,Rakesh Singh,BJP
180,Rae Bareli,Raebareli,GEN,Aditi Singh,BJP,102429,7175,Ram Pratap Yadav,SP
181,Salon,Raebareli,SC,Ashok Kori,BJP,87715,1511,Jagdish Prasad,SP
182,Sareni,Raebareli,GEN,Devendra Pratap Singh,SP,66166,3807,Dhirendra Bahadur Singh,BJP
183,Unchahar,Raebareli,GEN,Manoj Kumar Pandey,SP,82514,6621,Amarpal Maurya,BJP
184,Jagdishpur,Amethi,SC,Suresh Kumar,BJP,89315,22824,Vijay Kumar,INC
185,Gauriganj,Amethi,GEN,Rakesh Pratap Singh,SP,79040,6963,Chandra Prakash Mishra Matiyari,BJP
186,Amethi,Amethi,GEN,Maharaji Prajapati,SP,88217,18096,Sanjaya Sinh,BJP
187,Isauli,Sultanpur,GEN,Mohammad Tahir Khan,SP,69629,269,Om Prakash Pandey,BJP
188,Sultanpur,Sultanpur,GEN,Vinod Singh,BJP,92715,1009,Anoop Sanda,SP
189,Sadar,Sultanpur,GEN,Raj Prasad Upadhyay,BJP,85249,15754,Arun Verma,SP
190,Lambhua,Sultanpur,GEN,Sitaram Verma,BJP,82999,9533,Santosh Pandey,SP
191,Kadipur,Sultanpur,SC,Rajesh Gautam,BJP,96405,25723,Bhagelu Ram,SP
192,Kaimganj,Farrukhabad,GEN,AD(S),AD(S),114952,18543,Sarvesh Ambedkar,SP
193,Amritpur,Farrukhabad,GEN,Sushil Kumar Shakya,BJP,98848,44686,Dr. Jitendra Singh Yadav,SP
194,Farrukhabad,Farrukhabad,GEN,Sunil Dutt Dwivedi,BJP,112314,39326,Suman Shakya,SP
195,Bhojpur,Farrukhabad,GEN,Nagendra Singh Rathore,BJP,99979,27468,Arshad Jamal Siddiqui,SP
196,Chhibramau,Kannauj,GEN,Archana Pandey,BJP,124773,1111,Arvind Singh Yadav,SP
197,Tirwa,Kannauj,GEN,Kailash Singh Rajput,BJP,106089,4608,Anil Kumar Pal,SP
198,Kannauj,Kannauj,SC,Asim Arun,BJP,120876,6090,Anil Kumar Dohare,SP
199,Jaswantnagar,Etawah,GEN,Shivpal Singh Yadav,SP,159718,90979,Vivek Shakya,BJP
200,Etawah,Etawah,GEN,Sarita Bhadauria,BJP,98150,3984,Sarvesh Kumar Shakya,SP
201,Bharthana,Etawah,SC,Raghvendra Kumar Singh,SP,103676,7559,Siddharth Shanker,BJP
202,Bidhuna,Auraiya,GEN,Rekha Verma,SP,92757,3265,Riya Shakya,BJP
203,Dibiyapur,Auraiya,GEN,Pradeep Kumar Yadav,SP,80865,473,Lakhan Singh Rajput,BJP
204,Auraiya,Auraiya,SC,Gudiya Katheriya,BJP,88631,22447,Jitendra Kumar Dohare,SP
205,Rasulabad,Kanpur Dehat,SC,Poonam Sankhwar,BJP,91783,21512,Kamlesh Chandra Diwakar,SP
206,Akbarpur-Raniya,Kanpur Dehat,GEN,Pratibha Shukla,BJP,92827,13417,Dr. Ram Prakash Kushwaha,SP
207,Sikandra,Kanpur Dehat,GEN,Ajit Singh Pal,BJP,89461,31567,Prabhakar Pandey,SP
208,Bhognipur,Kanpur Dehat,GEN,Rakesh Sachan,BJP,87809,11893,Narendra Pal Singh,SP
209,Bilhaur,Kanpur Nagar,SC,Rahul Bachha Sonkar,BJP,123094,42351,Rachna Singh,SP
210,Bithoor,Kanpur Nagar,GEN,Abhijeet Singh Sanga,BJP,107330,21073,Munendra Shukla,SP
211,Kalyanpur,Kanpur Nagar,GEN,Neelima Katiyar,BJP,98997,21535,Satish Kumar Nigam,SP
212,Govindnagar,Kanpur Nagar,GEN,Surendra Maithani,BJP,117501,80896,Vikas Yadav,SP
213,Sishamau,Kanpur Nagar,GEN,Haji Irfan Solanki,SP,79163,12266,Salil Vishnoi,BJP
214,Arya Nagar,Kanpur Nagar,GEN,Amitabh Bajpai,SP,76897,7924,Suresh Awasthi,BJP
215,Kidwai Nagar,Kanpur Nagar,GEN,Mahesh Trivedi,BJP,114111,37760,Ajay Kapoor,INC
216,Kanpur Cantonment,Kanpur Nagar,GEN,Mohammed Hasan,SP,94729,19987,Raghunandan Singh Bhadauria,BJP
217,Maharajpur,Kanpur Nagar,GEN,Satish Mahana,BJP,152883,82261,Fateh Bahadur Singh Gill,SP
218,Ghatampur,Kanpur Nagar,SC,AD(S),AD(S),81727,14474,Bhagwati Prasad Sagar,SP
219,Madhogarh,Jalaun,GEN,Moolchandra Singh,BJP,105231,34974,Sheetal Kushwaha,BSP
220,Kalpi,Jalaun,GEN,Vinod Chaturvedi,SP,69782,2816,Chhote Singh,NISHAD
221,Orai,Jalaun,SC,Gauri Shankar,BJP,128644,37648,Dayashankar Verma,SP
222,Babina,Jhansi,GEN,Rajeev Singh Parichha,BJP,118343,44529,Yashpal Singh Yadav,SP
223,Jhansi Nagar,Jhansi,GEN,Ravi Sharma,BJP,148262,76353,Sitaram Kushwaha,SP
224,Mauranipur,Jhansi,SC,AD(S),AD(S),143577,58595,Tilak Chandra Ahirwar,SP
225,Garautha,Jhansi,GEN,Jawahar Lal Rajput,BJP,114059,33662,Deep Narayan Singh,SP
226,Lalitpur,Lalitpur,GEN,Ramratan Kushwaha,BJP,176550,107215,Chandrabhusan Singh Bundela Guddu Raja,BSP
227,Mehroni,Lalitpur,SC,Manohar Lal Panth,BJP,184778,110451,Kiran Ramesh Khatik,BSP
228,Hamirpur,Hamirpur,GEN,Manoj Kumar Prajapati,BJP,105432,25485,Ram Prakash Prajapati,SP
229,Rath,Hamirpur,SC,Manisha Anuragi,BJP,139373,61979,Chandravati,SP
230,Mahoba,Mahoba,GEN,Rakesh Kumar Goswami,BJP,94490,43447,Manoj Tiwari,SP
231,Charkhari,Mahoba,GEN,Brijbhushan Rajpoot,BJP,102051,41881,Ramjeevan Yadav,SP
232,Tindwari,Banda,GEN,Ramakesh Nishad,BJP,86812,28425,Brijesh Prajapati,SP
233,Baberu,Banda,GEN,Vishambhar Singh Yadav,SP,79614,7393,Ajay Kumar,BJP
234,Naraini,Banda,SC,Ommani Verma,BJP,83263,6719,Kiran Verma,SP
235,Banda,Banda,GEN,Prakash Dwivedi,BJP,81557,15214,Manjula Singh,SP
236,Chitrakoot,Chitrakoot,GEN,Anil Pradhan,SP,104771,20876,Chandrika Prasad Upadhyay,BJP
237,Manikpur,Chitrakoot,GEN,AD(S),AD(S),73132,1048,Veer Singh Patel,SP
238,Jahanabad,Fatehpur,GEN,Rajendra Singh Patel,BJP,78503,18192,Madan Gopal Verma,SP
239,Bindki,Fatehpur,GEN,AD(S),AD(S),78165,3797,Rameshwar Dayal urf Dayalu Omer,SP
240,Fatehpur,Fatehpur,GEN,Chandra Prakash Lodhi,SP,96839,8601,Vikram Singh,BJP
241,Ayah Shah,Fatehpur,GEN,Vikas Gupta,BJP,71231,13006,Vishambhar Prasad Nishad,SP
242,Husainganj,Fatehpur,GEN,Usha Maurya,SP,91884,25181,Ranvendra Pratap Singh,BJP
243,Khaga,Fatehpur,SC,Krishna Paswan,BJP,83735,5509,Ramthirth Paramhans,SP
244,Rampur Khas,Pratapgarh,GEN,Aradhana Misra Mona,INC,84334,14741,Nagesh Pratap Singh,BJP
247,Vishwanathganj,Pratapgarh,GEN,AD(S),AD(S),86829,48052,Saurabh Singh,SP
248,Pratapgarh,Pratapgarh,GEN,Rajendra Maurya,BJP,89762,25063,AD(K),
249,Patti,Pratapgarh,GEN,Ram Singh Patel,SP,108070,22051,Rajendra Pratap Singh,BJP
250,Raniganj,Pratapgarh,GEN,Rakesh Kumar Verma,SP,75583,2649,Dhiraj Ojha,BJP
251,Sirathu,Kaushambi,GEN,Pallavi Patel,SP,106278,7337,Keshav Prasad Maurya,BJP
252,Manjhanpur,Kaushambi,SC,Indrajit Saroj,SP,121506,23878,Lal Bahadur,BJP
253,Chail,Kaushambi,GEN,Pooja Pal,SP,88818,13209,AD(S),AD(S)
254,Phaphamau,Prayagraj,GEN,Guru Prasad Maurya,BJP,91186,14324,Ansar Ahmad,SP
255,Soraon,Prayagraj,SC,Geeta Shastri,SP,91474,5590,AD(S),AD(S)
256,Phulpur,Prayagraj,GEN,Praveen Patel,BJP,103557,2732,Mujataba Siddiqui,SP
257,Pratappur,Prayagraj,GEN,Vijama Yadav,SP,91142,10956,AD(S),AD(S)
258,Handia,Prayagraj,GEN,Hakim Lal Bind,SP,84417,3543,Prashant Kumar Singh Rahul,NISHAD
259,Meja,Prayagraj,GEN,Sandeep Singh Patel,SP,78555,3439,Neelam Karwariya,BJP
260,Karachhana,Prayagraj,GEN,Piyush Ranjan Nishad,BJP,89527,9328,Ujjwal Raman Singh,SP
261,Allahabad West,Prayagraj,GEN,Sidharth Nath Singh,BJP,118759,29933,Richa Singh,SP
